,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Ulster County (East) PUMA, New York",Mid-Hudson,78.6753814249741%,85.2684395383843%,77.4074553455863%,21.2113759981484%,7.35745760448658%,23.7409010426913%,5.70562032034878%,4.70679411004908%,5.85877989004438%,4.42681979713351%,2.17135459573967%,5.25875762896079%,60662.1851450895,76135.1028009886,50867.7189198228
"Westchester County (Central)--White Plains City PUMA, New York",Mid-Hudson,80.1689213629458%,80.5009271592363%,78.3195984881344%,7.67421300243125%,4.78910163381864%,11.1644594523294%,2.96576689145734%,2.34456269504681%,3.74704344578613%,1.65813161278679%,1.58323329980858%,1.95411392405063%,125731.068445868,149304.133536645,75192.7818829114
"Westchester County (Northeast) PUMA, New York",Mid-Hudson,82.6784246651414%,82.4566567568363%,84.07872941635%,3.01786308665261%,1.97953622294205%,4.87339086150799%,2.52368064952639%,2.09103199639477%,3.49794238683128%,0.445984793530534%,0.164209474172706%,1.39065940433422%,154805.229198571,170572.723735409,110413.538764631
"Westchester County (Northwest) PUMA, New York",Mid-Hudson,83.7116871083368%,87.8362620129479%,77.1744627054362%,7.03836424957841%,0.939155856020464%,15.254593175853%,3.58162208582759%,2.19123505976096%,5.74800637958533%,2.86737299327914%,0.723310748947079%,6.85298301397373%,108811.185051411,132314.25489837,68548.6722909329
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",Mid-Hudson,85.5837697321328%,87.2639360919379%,83.4513274336283%,12.8633986133074%,4.76660599142319%,19.4262878043824%,7.4493268234946%,6.34014628477681%,8.2075430180874%,5.11742565976273%,3.09563960491448%,7.03605514316013%,102347.782096714,146257.905886132,51455.8579003181
"Westchester County (Southeast) PUMA, New York",Mid-Hudson,81.9730612789225%,82.9848096271454%,80.4836475977416%,7.95094276656099%,3.71565064717651%,15.8427474017171%,4.78149633522334%,5.07172131147541%,2.95381902347625%,0.870661947190691%,0.576488767383811%,1.55028488140983%,137465.776263879,174168.682455723,58255.511581734
"Westchester County (Southwest)--Yonkers City PUMA, New York",Mid-Hudson,86.9522114323052%,92.3019543487991%,81.7847961806831%,17.2007493591008%,7.33534186961252%,20.9562850079795%,9.2815840570124%,7.57343794852167%,10.5088354268682%,4.12261608623549%,1.35768546953289%,6.15738661876965%,63619.0319496269,79644.7347125694,50683.5069600359
MID-HUDSON,,81.6681571391788%,84.9227724151541%,79.3947830849632%,13.0268979120887%,4.63291126330337%,16.8832975148396%,5.20483169736901%,3.54250802832588%,6.11455486488894%,4.29467265965519%,1.65084902272611%,6.06857774710285%,87714.4877539016,118519.583394563,58974.078449267
"Fulton & Montgomery Counties PUMA, New York",Mohawk Valley,81.9436128394033%,87.1542205864894%,80.1147935567488%,24.3337437257316%,7.51767400179229%,24.8619085194961%,8.33160245092948%,3.91228507351109%,7.34190384186669%,9.46996241319997%,3.70521727285111%,10.2449888641425%,42415.2581885186,57325.0227489443,38231.5964871736
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",Mohawk Valley,83.2357247437775%,85.8892699657031%,82.7368544669857%,22.7577660277594%,8.0937167199148%,23.7207403375068%,6.410143717312%,1.06489853325296%,6.50601677403671%,9.152051321848%,3.17170564746149%,10.7270856250665%,48702.4891613638,67221.3792355961,43833.374862496
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",Mohawk Valley,79.8224326723883%,88.2586570683877%,76.2462808913717%,22.6126617571294%,8.85291446278784%,22.9914348410844%,4.77273180558049%,4.5463003163183%,3.95193260654113%,8.34121335788583%,4.54928983265364%,9.22228484019%,53423.0919966385,75689.3041766278,41487.6392450426
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",Mohawk Valley,81.0294329476161%,82.0163909076851%,81.0915453631659%,22.1735104593813%,9.86968596453749%,24.3047878220937%,5.35523374477597%,5.19409083765519%,4.92846977754475%,9.55740669374203%,4.74170437405732%,10.407572485411%,52059.4560322351,77416.9342006033,41445.1649068038
MOHAWK,,81.4606424524256%,85.8629079620773%,80.0165473875812%,22.9416780060975%,8.71076917386399%,23.9203265676953%,6.11634924165939%,3.87366802622307%,5.64673601993065%,9.09002507449417%,4.15282392026578%,10.1590234383109%,49439.5242232152,71030.6454709791,41433.2045764745
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",New York,72.0467728570113%,87.1078938297139%,71.4628937533369%,56.6771633707016%,31.7653009610521%,53.542819550327%,10.1313770617568%,2.62249827467219%,10.4080103535182%,16.081735553639%,12.5840918084685%,14.1100758812794%,38656.6247923323,50122.6790660863,37827.6895778857
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",New York,94.8334204517318%,94.2323682818051%,95.7527704363147%,17.6773269067935%,8.64113397846531%,17.5322038903038%,7.25078102811701%,3.24583052875626%,8.43301732267831%,8.69716573351513%,5.72757901492058%,9.07946346423902%,55369.2973804067,65987.7747473127,50235.6229722532
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",New York,84.0532673068558%,77.9546445704318%,86.3859436534384%,23.8193270102689%,7.72872186262197%,25.2665876777251%,8.24551983354588%,1.26567844925884%,12.0879120879121%,10.4966860975805%,2.75618374558304%,15.3177163697573%,50110.7221050117,69940.0909090909,45550.6803198205
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",New York,87.0385697732164%,84.575974113523%,89.3037853071159%,27.6770023530813%,6.77344418633085%,29.224868601733%,13.0254968881751%,10.3443743427971%,12.1592898224556%,9.28109547356409%,3.71433126095967%,9.94764397905759%,48322.0220616204,65980.5464689941,40902.3596069712
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",New York,69.6504173218822%,79.6802773497689%,65.8130229174245%,53.0901070624454%,17.0600134861767%,51.4732673267327%,15.0507246376812%,10.1885486939976%,18.1501098049348%,19.1501678823666%,5.55958423978729%,11.5962856511165%,41196.9179113118,56934.053662074,43757.4596506743
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",New York,72.8160025741406%,69.631483166515%,72.5460636515913%,51.4461931093152%,16.5409482758621%,52.4700466269256%,12.0311738918656%,1.74376362315331%,10.230941147256%,23.4128737663868%,1.86213655668082%,19.5682290464096%,41419.4440271027,51998.6968311009,41066.5781574694
