,Total RECODE2,,,,,,,,,BABS,,,,,,,,,HS,,,,,,,,,HSINC,,,,,,,,
,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,
null,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",15831,7864,7967,1273,466,807,14558,7398,7160,4588,2357,2231,69,69,0,4519,2288,2231,8565,4635,3930,967,329,638,7598,4306,3292,2678,872,1806,237,68,169,2441,804,1637
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",13663,8202,5461,988,687,301,12675,7515,5160,4050,2005,2045,0,0,0,4050,2005,2045,8254,5586,2668,737,649,88,7517,4937,2580,1359,611,748,251,38,213,1108,573,535
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",12416,6584,5832,454,96,358,11962,6488,5474,2679,1082,1597,96,96,0,2583,986,1597,7070,4129,2941,206,0,206,6864,4129,2735,2667,1373,1294,152,0,152,2515,1373,1142
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",25519,11785,13734,2633,1161,1472,22886,10624,12262,6780,2351,4429,1020,592,428,5760,1759,4001,14610,7048,7562,1357,569,788,13253,6479,6774,4129,2386,1743,256,0,256,3873,2386,1487
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",13279,6161,7118,443,345,98,12836,5816,7020,5400,2738,2662,443,345,98,4957,2393,2564,5169,2364,2805,0,0,0,5169,2364,2805,2710,1059,1651,0,0,0,2710,1059,1651
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",8350,4608,3742,439,276,163,7911,4332,3579,4989,2675,2314,162,96,66,4827,2579,2248,2037,706,1331,0,0,0,2037,706,1331,1324,1227,97,277,180,97,1047,1047,0
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",12452,6067,6385,485,200,285,11967,5867,6100,3952,1855,2097,61,61,0,3891,1794,2097,6120,3046,3074,296,139,157,5824,2907,2917,2380,1166,1214,128,0,128,2252,1166,1086
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",19043,8675,10368,0,0,0,19043,8675,10368,17890,8238,9652,0,0,0,17890,8238,9652,1153,437,716,0,0,0,1153,437,716,0,0,0,0,0,0,0,0,0
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",14370,6595,7775,87,0,87,14283,6595,7688,10550,4844,5706,87,0,87,10463,4844,5619,3705,1636,2069,0,0,0,3705,1636,2069,115,115,0,0,0,0,115,115,0
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",15378,7766,7612,977,503,474,14401,7263,7138,10747,5920,4827,625,322,303,10122,5598,4524,3214,1556,1658,181,181,0,3033,1375,1658,1417,290,1127,171,0,171,1246,290,956
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",7566,2164,5402,669,461,208,6897,1703,5194,6299,2089,4210,386,386,0,5913,1703,4210,999,75,924,283,75,208,716,0,716,268,0,268,0,0,0,268,0,268
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",8762,4561,4201,298,90,208,8464,4471,3993,5586,2632,2954,0,0,0,5586,2632,2954,2482,1505,977,168,90,78,2314,1415,899,694,424,270,130,0,130,564,424,140
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",14846,8212,6634,649,649,0,14197,7563,6634,12896,7122,5774,649,649,0,12247,6473,5774,918,181,737,0,0,0,918,181,737,1032,909,123,0,0,0,1032,909,123
