,,Unemployment %,,,Full Time Work Access,,,Poverty,,,Working Poor,,,,Income,,
Total GEOG-101,Overall,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,HSINC,Overall,BABS,HS
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",New York,10.3367754657257%,6.70829785220929%,11.3080280386192%,81.2096482619699%,86.4604556399333%,75.1847133757962%,24.5845186405151%,6.67531835509774%,37.193219195412%,,,,,75793.0185079183,91031.7234361611,56161.6164012199
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",New York,8.17279626386457%,2.00356799780431%,13.9809236947791%,90.2460280217202%,97.790585975024%,82.672737011248%,22.6350701788118%,10.7001151926277%,30.1358515573227%,,,,,50558.615361759,62319.9803536346,37633.9326206673
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",New York,12.8581199179269%,2.44228432563791%,23.1903485254692%,85.0103007828595%,86.6634394287789%,80.4044820989342%,25.1511555630898%,5.89424048501179%,39.7160068846816%,,,,,83966.2785963552,99262.3418516967,50006.288239293
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",New York,12.2195725136902%,7.22358259559239%,15.730434032272%,90.1452995370583%,90.8470339390443%,90.1759133964817%,24.6230057550812%,14.9713277459197%,30.1105527638191%,,,,,50505.1634718056,61975.5635516986,40633.9085634254
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",New York,8.20338634141321%,5.90678357175819%,10.9990034877927%,86.2294251709293%,95.1310425160163%,83.0307431614621%,33.0698377783888%,9.71045197740113%,32.7497518274524%,,,,,58567.9554211206,86794.1972572548,35585.7055393586
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",New York,8.84429373506031%,2.89458010720667%,8.47308031774051%,75.6147540983607%,69.1897654584222%,83.2788944723618%,30.6681088276895%,23.8182559087205%,27.7615482928611%,,,,,53933.7851021753,70097.192261599,45394.2476995022
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",New York,13.9598997493734%,4.12610106629578%,17.8231140006726%,87.2162202160722%,93.9068100358423%,82.7908942696697%,37.7250912670741%,14.3259881479777%,47.9197314322357%,,,,,60622.9349759044,93272.2252628547,32889.8900153162
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",New York,10.2617648487203%,2.69982238010657%,10.5386578384716%,72.3166494506526%,86.7281760113556%,72.0002731680667%,56.9786744987869%,32.446396280031%,53.9963153149622%,,,,,38911.9710427217,51216.9844517185,38024.3384235986
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",New York,3.76931165574699%,2.62439024390244%,9.60507069722087%,78.5966257668712%,86.5078580606899%,54.6042617960426%,15.1139742319128%,10.3394062702303%,24.4504565437944%,,,,,115376.622109474,124822.134369287,61414.4111498258
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",New York,8.29842931937173%,0%,18.6468921846359%,87.8507871321013%,97.6470588235294%,69.5754255527294%,21.657078337545%,0%,44.1743503772003%,,,,,117819.037008181,145465.794085433,51437.7502812148
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",New York,0.643776824034335%,0.883995037220844%,0%,83.5232204861111%,91.1589184410226%,59.6766409266409%,13.721206364284%,1.52145830343046%,27.2920353982301%,,,,,130683.994024034,150796.151943749,56617.8730287101
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",New York,2.65553057072492%,3.54995705697108%,0%,87.9476360489019%,100%,71.4065708418891%,16.4686969724033%,4.44471957409929%,52.1108179419525%,,,,,106646.505105179,116796.681507866,57479.079798706
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",New York,15.1011214415796%,11.668432827034%,11.6902372262774%,74.2288168684108%,84.9209313908604%,63.5132319233174%,49.3997754555661%,16.5247762497271%,50.5653115227327%,,,,,41461.6741188848,52682.2140762463,35766.3057742782
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",New York,8.9989888776542%,4.86895161290323%,13.2262051915946%,79.903078677309%,84.514034752721%,73.7608043746693%,30.2012379086187%,22.3322585598035%,25.7349952580951%,,,,,44538.1799092809,60165.6888838681,34852.331699151
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",New York,10.7081629961757%,0%,16.8394437420986%,69.6374622356496%,63.7633525061627%,60.4745925215724%,58.2299486369024%,39.4390383514596%,55.5103884372177%,,,,,30545.0903832249,48761.5979381443,30044.5659928656
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",New York,10.6306934576995%,8.07402554864068%,11.8692300056252%,84.6418671197353%,92.4366209045734%,82.4258266005839%,15.5044955044955%,3.02237945089595%,15.6679586203051%,,,,,47156.8844751994,62244.3189066059,42398.7792924509
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",New York,5.64417963995131%,6.07612220515446%,4.96437054631829%,85.662712738525%,90.3181895524928%,85.948223961469%,18.040627989421%,10.9260391198044%,20.2698429429746%,,,,,50974.3076459964,61730.8214016579,47253.0680862987
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",New York,3.84031936127745%,0%,4.68528159015618%,86.1498667502744%,94.7314403010606%,81.4277489925158%,19.9212836815017%,6.99853587115666%,20.0503680743898%,,,,,47925.8875443545,60792.1632358252,44731.4027149321
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",New York,5.24455753463387%,4.55430128454652%,0%,85.1872711912138%,92.1302852518713%,70.1015965166909%,19.1888248989095%,7.95049690605663%,42.5621414913958%,,,,,68789.9768595041,81620.0614844093,30055.900621118
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",New York,6.82886782595716%,4.67082746124421%,9.14856294697072%,84.5981810049202%,88.5147696756868%,85.0866746063253%,16.2955169793676%,4.86241990199774%,14.6778295888088%,,,,,52418.1323581248,76489.194865811,39012.6852255054
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",New York,6.69487307117969%,7.01342997228736%,6.8189233278956%,81.3591737855412%,83.6455807802513%,76.2062128222076%,22.6970865467009%,5.65414775072225%,34.5281072717896%,,,,,79673.5392571697,99775.5425559947,54687.1942758023
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",New York,12.4978201476487%,6.43697891123099%,18.55643384735%,77.181712962963%,82.4963609898108%,72.7707454289733%,23.758865248227%,9.30612244897959%,26.7188949592825%,,,,,63618.0422883707,81242.1937950301,50044.6617703904
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",New York,10.0777005316352%,0%,14.7899159663866%,89.1792592592593%,87.1628542164561%,91.3423742138365%,23.9417744916821%,2.90625%,33.2726213026373%,,,,,49119.3582297827,66277.6459067763,41529.7430876815
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",New York,1.57744758803175%,1.06297633373446%,2.37928621413576%,90.2390438247012%,92.057761732852%,88.6822773186409%,7.29748603351955%,5.93445527015058%,8.01877566986114%,,,,,57843.1975717439,76250.6252723312,41489.257054103
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",New York,6.46459564834612%,2.23816355810617%,5.08474576271187%,85.8477970627503%,100%,77.5804128660586%,26.1177805085547%,9.07705703090988%,30.1910299003322%,,,,,45234.2428955182,57553.7422952744,33079.8886138614
