,,NB,,,,,,,,,,,,FB,,,,,,,,,,,
,,BABS,,,,,,HS,,,,,,BABS,,,,,,HS,,,,,
,,Total,,,Unemployed,,,Total,,,Unemployed,,,Total,,,Unemployed,,,Total,,,Unemployed,,
,NYS Regions,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",New York,53954,26620,27334,1854,1571,283,7257,3879,3378,330,197,133,6299,2089,4210,386,386,0,999,75,924,283,75,208
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",New York,62273,30109,32164,1652,845,807,11778,6432,5346,1819,1627,192,10550,4844,5706,87,0,87,3705,1636,2069,0,0,0
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",New York,76234,32195,44039,1415,251,1164,7353,3830,3523,179,179,0,17890,8238,9652,0,0,0,1153,437,716,0,0,0
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",New York,19464,7566,11898,585,261,324,9153,4392,4761,672,548,124,5400,2738,2662,443,345,98,5169,2364,2805,0,0,0
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",New York,33548,16494,17054,1407,974,433,15492,8508,6984,2073,1273,800,15500,7711,7789,1590,863,727,14031,8703,5328,468,157,311
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",New York,7346,3539,3807,296,126,170,12614,6484,6130,1406,1017,389,4646,2734,1912,251,119,132,5559,2790,2769,663,401,262
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",New York,15027,8738,6289,645,544,101,11712,6509,5203,843,169,674,9924,4746,5178,0,0,0,7431,3836,3595,466,284,182
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",New York,12620,4541,8079,996,576,420,30524,16589,13935,3638,1916,1722,5741,3420,2321,98,42,56,8104,4954,3150,1128,735,393
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",New York,13443,5473,7970,1084,523,561,21609,11518,10091,1310,704,606,7629,4258,3371,207,157,50,12659,7684,4975,586,396,190
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",New York,8394,3881,4513,382,272,110,9474,4721,4753,561,158,403,2388,1198,1190,233,233,0,1773,1170,603,0,0,0
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",New York,15428,8284,7144,534,530,4,8122,4630,3492,249,102,147,13615,8153,5462,689,439,250,12681,8033,4648,688,445,243
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",New York,8858,4216,4642,187,0,187,9918,6130,3788,666,466,200,8699,5146,3553,425,102,323,17633,10232,7401,1953,968,985
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",New York,4759,2729,2030,78,78,0,5157,3668,1489,198,120,78,13846,9596,4250,627,209,418,18776,11617,7159,841,623,218
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",New York,14210,7125,7085,290,42,248,20546,10487,10059,1338,906,432,8211,3286,4925,439,125,314,14850,8909,5941,614,360,254
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",New York,14741,5918,8823,594,309,285,6471,3860,2611,577,250,327,12539,5812,6727,1021,320,701,8037,4277,3760,240,240,0
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",New York,15701,8787,6914,703,526,177,19466,10805,8661,996,559,437,13737,7576,6161,398,179,219,19983,11083,8900,593,54,539
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",New York,12950,5430,7520,506,365,141,16801,10327,6474,1810,1054,756,11831,6175,5656,815,318,497,13245,6388,6857,1033,939,94
